X;Y;OBJECTID;StopID;EasyGo;Street;CrossStreet;Easting;Northing;Longitude;Latitude;Municipality;Status;RMWID
539251.1341;4805663.831;6701;12016;2958;Activa Ave;Bridlewreath St;539251.13413791;4805663.83102521;-80.51526201;43.402828;Kitchener;Active;BS12016
539693.4989;4805694.0749;4049;12014;2956;Activa Ave;Donnenwerth Dr;539693.49894686;4805694.07486916;-80.50979696;43.40307703;Kitchener;Active;BS12014
539756.9441;4806820.7775;4150;13670;2076;Activa Ave;Grey Fox Dr;539757.219;4806820.553;-80.508928;43.413217;Kitchener;Active;BS13670
538856.1994;4805722.2991;7448;12054;2995;Activa Ave;Isaiah St;538856.19942535;4805722.29912419;-80.52013499;43.40337502;Kitchener;Active;BS12054
539317.2741;4805625.5688;4380;12056;2997;Activa Ave;Reistview St;539317.27405501;4805625.56881337;-80.51444799;43.40248002;Kitchener;Active;BS12056
539024.0518;4805653.6331;4286;12055;2996;Activa Ave;Snowdrop Cres;539024.05183184;4805653.63310097;-80.51806703;43.40274803;Kitchener;Active;BS12055
539034.4169;4805668.5701;5863;12017;2959;Activa Ave;Snowdrop Cres;539034.41685812;4805668.57006059;-80.51793796;43.40288198;Kitchener;Active;BS12017
539656.4998;4805637.2164;6929;12058;2999;Activa Ave;Sweet William St;539656.4998435;4805637.21644253;-80.51025799;43.40256703;Kitchener;Active;BS12058
539669.8086;4806513.888;4538;12046;2987;Activa Ave;Wilderness Dr;539669.8086362;4806513.88799857;-80.51003002;43.41045998;Kitchener;Active;BS12046
555866.4527;4808852.582;4986;10323;1309;Adam St;Tannery St E;555866.4527;4808852.58196417;-80.30975495;43.43048503;Cambridge;Active;BS10323
555685.6543;4800734.7443;7066;10546;1518;Ainsle Terminal;Stop 1518;555685.6543;4800734.74432655;-80.31281502;43.35740695;Cambridge;Active;BS10546
555624.264;4801232.363;4955;10497;1469;Ainslie St N;Colborne St;555624.264;4801232.3630377;-80.31352203;43.361892;Cambridge;Active;BS10497
555613.363;4801020.6961;5636;10495;1467;Ainslie St N;Dickson St;555613.363;4801020.69612189;-80.31367804;43.35998699;Cambridge;Active;BS10495
555628.0901;4801058.7784;7369;10496;1468;Ainslie St N;Dickson St;555628.0901;4801058.77837036;-80.31349244;43.36032878;Cambridge;Active;BS10496
555571.7147;4801337.6611;5881;13145;1466;Ainslie St N;Park Hill Rd W;555571.71470036;4801337.66105956;-80.31415984;43.36284398;Cambridge;Active;BS13145
555577.007;4801431.4425;6437;10498;1470;Ainslie St N;Park Hill Rd W;555577.007;4801431.44251565;-80.31408501;43.36368799;Cambridge;Active;BS10498
555536.5694;4801639.5801;4102;10499;1471;Ainslie St N;Simcoe St;555536.5694;4801639.58014983;-80.31456294;43.36556502;Cambridge;Active;BS10499
555552.0769;4801554.9587;5057;10493;1465;Ainslie St N;Simcoe St;555552.0769;4801554.986;-80.314381;43.364802;Cambridge;Active;BS10493
555551.7371;4799888.7542;8065;14498;4195;Ainslie St S;Birch St;555551.7371;4799888.7542;-80.31455324;43.34979968;Cambridge;Active;BS14498
555634.6867;4800408.6907;6944;11206;2159;Ainslie St S;Concession Rd;555634.68672791;4800408.69069382;-80.31347703;43.35447498;Cambridge;Active;BS11206
555672.5264;4800221.1713;8282;14714;4218;Ainslie St S;Elliott St;555672.5264;4800221.1713;-80.31302918;43.35278378;Cambridge;Active;BS14714
555653.1715;4800244.3356;8284;14715;4193;Ainslie St S;Elliott St;555653.1715;4800244.3356;-80.31326564;43.35299379;Cambridge;Active;BS14715
555585.6185;4800459.4341;3967;10551;1523;Ainslie St S;Walnut St;555585.6185;4800459.711;-80.314075;43.354938;Cambridge;Active;BS10551
555628.5766;4800708.0698;5577;10539;1511;Ainslie Terminal;Stop 1511;555628.5766;4800708.06975608;-80.31352204;43.35717101;Cambridge;Active;BS10539
555630.2175;4800726.1861;4301;10540;1512;Ainslie Terminal;Stop 1512;555630.2175;4800726.18606856;-80.31349995;43.35733401;Cambridge;Active;BS10540
555654.9468;4800763.3685;5225;10543;1515;Ainslie Terminal;Stop 1515 (GO Transit - Megabus);555654.9468;4800763.36850018;-80.31319103;43.35766696;Cambridge;Active;BS10543
555672.7331;4800758.9694;5713;10544;1516;Ainslie Terminal;Stop 1516;555672.7331;4800758.96939561;-80.312972;43.35762603;Cambridge;Active;BS10544
555690.7667;4800754.1204;4071;10545;1517;Ainslie Terminal;Stop 1517;555690.7667;4800754.12038261;-80.31274996;43.35758104;Cambridge;Active;BS10545
555674.5142;4800720.1073;5760;10547;1519;Ainslie Terminal;Stop 1519;555674.5142;4800720.10730588;-80.31295397;43.35727599;Cambridge;Active;BS10547
555664.1904;4800703.8106;6922;10548;1520;Ainslie Terminal;Stop 1520;555664.1904;4800703.81062302;-80.31308301;43.35713002;Cambridge;Active;BS10548
555655.3013;4800691.1832;3962;10549;1521;Ainslie Terminal;Stop 1521;555655.3013;4800691.18319329;-80.31319398;43.35701699;Cambridge;Active;BS10549
555631.6852;4800685.2144;4097;10550;1522;Ainslie Terminal;Stop 1522;555631.6852;4800685.21440822;-80.313486;43.35696499;Cambridge;Active;BS10550
555634.4714;4800760.4415;6499;13415;6101;Ainslie Terminal;Stop 6101;555634.471;4800760.442;-80.313444;43.357642;Cambridge;Active;BS13415
549666.7944;4811617.6228;8412;14867;2747;Airport Rd;Region of Waterloo International Airport;549666.7944;4811617.6228;-80.38609711;43.45581779;Woolwich;Active;BS14867
537083.6892;4815127.4847;7387;10181;1176;Albert St;Greenbrier Dr;537083.6892;4815127.48472586;-80.54138505;43.48814999;Waterloo;Active;BS10181
537261.8984;4815394.1305;4681;10182;1177;Albert St;Longwood Dr;537261.8984;4815394.1304509;-80.53916294;43.49054201;Waterloo;Active;BS10182
537234.8933;4815393.2006;5288;10161;1156;Albert St;Longwood Dr;537234.8933;4815393.20064016;-80.53949698;43.49053498;Waterloo;Active;BS10161
537069.4487;4815070.5463;7177;10162;1157;Albert St;Quiet Pl;537069.4487;4815070.54631552;-80.54156503;43.48763802;Waterloo;Active;BS10162
537391.4489;4815507.3574;4076;10160;1155;Albert St;Weber St N;537391.4489;4815507.35740388;-80.537553;43.49155504;Waterloo;Active;BS10160
556687.5161;4801938.2294;4856;11217;2169;Alison Ave;Elgin St N;556687.51612763;4801938.22936065;-80.30032799;43.368168;Cambridge;Active;BS11217
557223.1662;4801527.9229;4835;11220;2172;Alison Ave;Hilltop Dr;557223.1661731;4801527.92287735;-80.29376002;43.36443303;Cambridge;Active;BS11220
557137.2692;4801815.8443;7520;11219;2171;Alison Ave;Lauris Ave;557137.26921307;4801815.84427178;-80.29479004;43.36703197;Cambridge;Active;BS11219
556941.4057;4802011.4445;7361;11218;2170;Alison Ave;Radford Ave;556941.40567351;4802011.44445793;-80.29718694;43.368808;Cambridge;Active;BS11218
538964.8511;4811994.9801;6551;13386;6117;Allen Station;ION platform - Northbound;538964.852;4811994.993;-80.518345;43.459849;Waterloo;Active;BS13386
538961.373;4811992.6325;6015;13385;6007;Allen Station;ION platform - Southbound;538961.381;4811992.665;-80.518389;43.459829;Waterloo;Active;BS13385
541841.5826;4808139.7171;5818;12111;3052;Alpine Rd;Ottawa St S;541841.5826152;4808139.71706576;-80.48308252;43.42498098;Kitchener;Active;BS12111
541850.866;4808174.8981;6702;12112;3053;Alpine Rd;Ottawa St S;541850.866;4808174.581;-80.482965;43.425294;Kitchener;Active;BS12112
551703.9835;4804837.4392;5855;10435;1412;Argyle St S;Hamilton St;551703.9835;4804837.43923486;-80.36156;43.39463202;Cambridge;Active;BS10435
551580.8483;4804661.685;5854;10434;1411;Argyle St S;Vine St;551580.8483;4804661.68500913;-80.36309695;43.39305802;Cambridge;Active;BS10434
558271.0505;4806094.5674;8010;14448;4186;Arthur Fach Dr;Coulthard Blvd;558271.0505;4806094.5674;-80.28034193;43.40546947;Cambridge;Active;BS14448
558228.0094;4806259.9932;7996;14447;4185;Arthur Fach Dr;Garth Massey Dr;558228.0094;4806259.9932;-80.28085583;43.40696227;Cambridge;Active;BS14447
535393.8519;4826367.0869;7238;12855;3824;Arthur St S;232 Arthur St S;535393.85186388;4826367.08693734;-80.56154998;43.589433;Woolwich;Active;BS12855
535458.4333;4826933.1717;7055;12845;3814;Arthur St S;Brubacher St;535458.43331641;4826933.17171242;-80.56071292;43.59452689;Woolwich;Active;BS12845
535325.8256;4825422.118;7142;13134;3811;Arthur St S;Earl Martin Dr;535325.82564442;4825422.11800606;-80.56245428;43.58092782;Woolwich;Active;BS13134
535299.0175;4825405.8416;7462;13133;3826;Arthur St S;Earl Martin Dr;535299.0175016;4825405.84163363;-80.56278738;43.58078254;Woolwich;Active;BS13133
535442.0852;4826715.388;6032;12923;3873;Arthur St S;First St;535442.08519955;4826715.38796992;-80.5609297;43.59256677;Woolwich;Active;BS12923
535923.6556;4822442.3958;4572;12870;3840;Arthur St S;Gerrat Dr;535923.65560575;4822442.39579687;-80.55524722;43.55407005;Woolwich;Active;BS12870
535913.5874;4822523.1894;7088;12869;3837;Arthur St S;Gerrat Dr;535913.58742986;4822523.18935158;-80.55536652;43.554798;Woolwich;Active;BS12869
535507.0178;4827174.8225;6375;12846;3815;Arthur St S;Hampton St;535507.017831;4827174.8225251;-80.56009518;43.59670037;Woolwich;Active;BS12846
535281.4857;4824968.9915;5645;12841;3810;Arthur St S;Listowel Rd;535281.48574366;4824968.99151562;-80.56303297;43.57685001;Woolwich;Active;BS12841
